"Point.Forecast","Lo.80","Hi.80","Lo.95","Hi.95"
-0.711708670579462,-1.9648969256294,0.541479584470473,-2.62829471501435,1.20487737385543
0.201761962555243,-1.06033754160573,1.46386146671622,-1.72845266131763,2.13197658642812
0.105599121296606,-1.15650038286437,1.36769862545758,-1.82461550257627,2.03581374516948
-0.219862685689034,-1.48196218985001,1.04223681847194,-2.15007730956191,1.71035193818384
-0.338805389730558,-1.60090489389153,0.923294114430417,-2.26902001360344,1.59140923414232
-0.437041681966341,-1.69914118612732,0.825057822194633,-2.36725630583922,1.49317294190654
-1.07257955313672,-2.3346790572977,0.189519951024251,-3.0027941770096,0.857635070736154
0.0643043559199054,-1.19779514824107,1.32640386008088,-1.86591026795297,1.99451897979278
0.149387794397471,-1.1127117097635,1.41148729855845,-1.78082682947541,2.07960241827035
0.229110245268092,-1.03298925889288,1.49120974942907,-1.70110437860479,2.15932486914097
-0.197979103459765,-1.46007860762074,1.06412040070121,-2.12819372733264,1.73223552041311
-1.54532102704591,-2.80741881536144,-0.283223238730379,-3.47553302675963,0.384890972667812
